EMPLOYER_NAME,target,value,source,pay
"Amazon CENTER, INC.",Amazon,25,SANTA CLARA COUNTY,109727
"Amazon CENTER, INC.",Amazon,25,SANTA CLARA COUNTY,146581
"Amazon CENTER, INC.",Amazon,25,SANTA CLARA COUNTY,146581
"Amazon CENTER, INC.",Amazon,20,SANTA CLARA COUNTY,114844
"Amazon CENTER, INC.",Amazon,20,SANTA CLARA COUNTY,114844
"Amazon CENTER, INC.",Amazon,20,SANTA CLARA COUNTY,114844
"Amazon CENTER, INC.",Amazon,20,SANTA CLARA COUNTY,112395
"Amazon CENTER, INC.",Amazon,20,SANTA CLARA COUNTY,112395
"Amazon CENTER, INC.",Amazon,20,SANTA CLARA COUNTY,132658.5
"Amazon CENTER, INC.",Amazon,20,SANTA CLARA COUNTY,122150
"Amazon CENTER, INC.",Amazon,20,SANTA CLARA COUNTY,132658.5
"Amazon CENTER, INC.",Amazon,15,SANTA CLARA COUNTY,100000
"Amazon CENTER, INC.",Amazon,15,SANTA CLARA COUNTY,100000
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,70551
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,90201
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,100950
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,100950
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,100950
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,100950
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,100950
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,100950
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,111511
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,118094
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,118094
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,105900
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,105900
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,116550
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,116550
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,116550
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,116550
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,140976.5
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,140976.5
"Amazon CENTER, INC.",Amazon,10,SANTA CLARA COUNTY,126300
