target,source,value,pay_category
Nvidia,Santa Clara,590,>$150K
PwC,Santa Clara,594,$50-100K
Infosys,Santa Clara,642,$100-$150K
Adobe,San Francisco,650,$100-$150K
Wipro,San Mateo,663,$50-100K
Deloitte,San Francisco,675,>$150K
Oracle,Santa Clara,725,$100-$150K
Samsung,Santa Clara,758,$100-$150K
Deloitte,Santa Clara,830,>$150K
Apple,Santa Clara,950,>$150K
Oracle,San Mateo,988,$100-$150K
Adobe,Santa Clara,1042,$100-$150K
Amazon,Santa Clara,1167,$100-$150K
Nvidia,Santa Clara,1230,$100-$150K
Deloitte,San Francisco,1260,$100-$150K
Mphasis,San Francisco,1461,$50-100K
Mindtree,Santa Clara,1520,$50-100K
Synopsys,Santa Clara,1545,>$150K
Google,Santa Clara,1645,$100-$150K
Tata,Santa Clara,1662,$50-100K
Facebook,San Mateo,1731,$100-$150K
Deloitte,Santa Clara,2050,$50-100K
Synopsys,Santa Clara,2396,$100-$150K
Cisco,Santa Clara,2406,$100-$150K
Deloitte,San Francisco,2435,$50-100K
Infosys,Santa Clara,2437,$50-100K
Deloitte,Santa Clara,2611,$100-$150K
Juniper,Santa Clara,2671,>$150K
Wipro,Santa Clara,2672,$50-100K
Apple,Santa Clara,3578,$100-$150K
Apple,Santa Clara,3865,$50-100K
